0.98, 900@DX!teta: 0.0, 15, 3, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
0.98, 900@DX!teta: 1.5, 15, 3, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-20, 2.9e-05, of, 14, records,   speed:, 1e-06, 
-19, -0.002317, of, 17, records,   speed:, -0.000122, 
-18, -0.001642, of, 19, records,   speed:, -9.1e-05, 
-17, 0.00013, of, 32, records,   speed:, 8e-06, 
-16, -0.000842, of, 35, records,   speed:, -5.3e-05, 
-15, -0.000999, of, 28, records,   speed:, -6.7e-05, 
-14, -0.001644, of, 32, records,   speed:, -0.000117, 
-13, -0.000816, of, 45, records,   speed:, -6.3e-05, 
-12, -0.001708, of, 69, records,   speed:, -0.000142, 
-11, -0.000624, of, 77, records,   speed:, -5.7e-05, 
-10, -0.001753, of, 95, records,   speed:, -0.000175, 
-9, -0.001313, of, 86, records,   speed:, -0.000146, 
-8, -0.001435, of, 150, records,   speed:, -0.000179, 
-7, -0.001099, of, 161, records,   speed:, -0.000157, 
-6, -0.001599, of, 204, records,   speed:, -0.000266, 
-5, -0.00084, of, 242, records,   speed:, -0.000168, 
-4, -0.001163, of, 307, records,   speed:, -0.000291, 
-3, -0.000616, of, 318, records,   speed:, -0.000205, 
-2, -0.000427, of, 363, records,   speed:, -0.000213, 
-1, -8.8e-05, of, 570, records,   speed:, -8.8e-05, 
1, 5.1e-05, of, 606, records,   speed:, 5.1e-05, 
2, 0.00056, of, 315, records,   speed:, 0.00028, 
3, 0.00054, of, 303, records,   speed:, 0.00018, 
4, 0.000753, of, 286, records,   speed:, 0.000188, 
5, 0.001031, of, 241, records,   speed:, 0.000206, 
6, 0.001398, of, 177, records,   speed:, 0.000233, 
7, 0.000927, of, 149, records,   speed:, 0.000132, 
8, 0.001446, of, 128, records,   speed:, 0.000181, 
9, 0.001408, of, 101, records,   speed:, 0.000156, 
10, 0.00204, of, 87, records,   speed:, 0.000204, 
11, 0.000736, of, 73, records,   speed:, 6.7e-05, 
12, 0.001687, of, 52, records,   speed:, 0.000141, 
13, 0.002191, of, 41, records,   speed:, 0.000169, 
14, 0.002286, of, 32, records,   speed:, 0.000163, 
15, 0.001245, of, 40, records,   speed:, 8.3e-05, 
16, 0.001976, of, 24, records,   speed:, 0.000123, 
17, 0.001211, of, 26, records,   speed:, 7.1e-05, 
